date,campaign_id,campaign_name,campaign_type,channel,region,impressions,clicks,conversions,spend,revenue,day_of_week,month,quarter,year,ctr,conversion_rate,cpc,cpa,roas
08/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,69107,2127,81,15549.1,52664.18,Friday,September,Q3,2023,3.08,3.81,7.31,191.96,3.39
09/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,76404,2080,70,13752.88,156336.43,Saturday,September,Q3,2023,2.72,3.37,6.61,196.47,11.37
10/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,88756,2807,110,15976.18,314589.29,Sunday,September,Q3,2023,3.16,3.92,5.69,145.24,19.69
11/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,82010,2995,136,18452.35,505594.98,Monday,September,Q3,2023,3.65,4.54,6.16,135.68,27.4
12/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,59918,1599,53,13481.63,135523.11,Tuesday,September,Q3,2023,2.67,3.31,8.43,254.37,10.05
13/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,59918,1599,53,13481.67,174954.44,Wednesday,September,Q3,2023,2.67,3.31,8.43,254.37,12.98
14/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,82716,3047,140,18611.28,305311.54,Thursday,September,Q3,2023,3.68,4.59,6.11,132.94,16.4
15/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,72510,2341,94,16314.92,179020.82,Friday,September,Q3,2023,3.23,4.02,6.97,173.56,10.97
16/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,71199,1806,57,12815.95,111747.68,Saturday,September,Q3,2023,2.54,3.16,7.1,224.84,8.72
17/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,87104,2703,104,15678.79,387074.34,Sunday,September,Q3,2023,3.1,3.85,5.8,150.76,24.69
18/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,57035,1448,45,12833.08,148291.96,Monday,September,Q3,2023,2.54,3.11,8.86,285.18,11.56
19/09/2023,CMP_1000,Brand Awareness - Facebook - East - Q1,Brand Awareness,Facebook,East,57006,1447,45,12826.54,130046.33,Tuesday,September,Q3,2023,2.54,3.11,8.86,285.03,10.14
