,Ad Spend,Impressions,Clicks,CTR,Conversions,Revenue,ROAS,Email Opens,Website Visits,Cart Abandonment
Ad Spend,1.0,0.92,0.85,0.15,0.72,0.68,-0.25,0.45,0.55,0.12
Impressions,0.92,1.0,0.88,0.22,0.7,0.65,-0.3,0.48,0.58,0.15
Clicks,0.85,0.88,1.0,0.45,0.82,0.78,-0.15,0.52,0.65,0.18
CTR,0.15,0.22,0.45,1.0,0.55,0.48,0.35,0.38,0.42,-0.22
Conversions,0.72,0.7,0.82,0.55,1.0,0.95,0.25,0.62,0.72,-0.35
Revenue,0.68,0.65,0.78,0.48,0.95,1.0,0.45,0.58,0.68,-0.38
ROAS,-0.25,-0.3,-0.15,0.35,0.25,0.45,1.0,0.22,0.18,-0.42
Email Opens,0.45,0.48,0.52,0.38,0.62,0.58,0.22,1.0,0.72,-0.28
Website Visits,0.55,0.58,0.65,0.42,0.72,0.68,0.18,0.72,1.0,-0.32
Cart Abandonment,0.12,0.15,0.18,-0.22,-0.35,-0.38,-0.42,-0.28,-0.32,1.0
