customer_id,gender,age,age_group,income,income_bracket,region,city_tier,customer_segment,acquisition_channel,tenure_months,lifetime_value,total_purchases,avg_order_value,last_purchase_days,email_open_rate,website_visits_monthly,app_sessions_monthly,support_tickets,satisfaction_score,nps_category,is_churned,churn_probability
CUST_10000,Female,31,26-35,76011,Medium,West,Tier 1,Regular,Paid Search,43,28395,100,283.95,83,0.301,4,17,2,3.47,Detractor,0,0.172
CUST_10001,Other,47,46-55,128560,High,North,Tier 1,Regular,Organic,37,37388,107,349.42,67,0.292,7,6,1,3.51,Passive,0,0.154
CUST_10002,Female,31,26-35,52761,Medium,South,Tier 3,Regular,Organic,38,11831,95,124.54,78,0.193,7,2,2,3.44,Detractor,0,0.17
CUST_10003,Male,22,18-25,36002,Low,Central,Tier 2,Budget,Social Media,8,1331,7,190.14,37,0.297,2,14,3,3.04,Detractor,0,0.227
CUST_10004,Other,35,26-35,152468,High,East,Tier 1,Premium,Organic,20,42402,65,652.34,14,0.31,16,13,0,3.97,Passive,0,0
CUST_10005,Other,31,26-35,58749,Medium,Central,Tier 2,Churned,Referral,33,1072,2,536,121,0.027,0,12,7,1.13,Detractor,1,1
CUST_10006,Male,28,26-35,89926,Medium,East,Tier 2,Regular,Referral,7,2936,13,225.85,17,0.216,6,16,1,3.81,Passive,0,0.083
CUST_10007,Male,38,36-45,77147,Medium,Central,Tier 3,Regular,Organic,35,24514,101,242.71,72,0.246,4,0,2,3.52,Passive,0,0.157
CUST_10008,Male,47,46-55,84398,Medium,North,Tier 3,Regular,Referral,39,15447,85,181.73,45,0.288,2,6,1,3.39,Detractor,0,0.148
CUST_10009,Male,18,18-25,48551,Low,East,Tier 1,Budget,Referral,54,4658,51,91.33,36,0.3,1,4,2,3.08,Detractor,0,0.221
CUST_10010,Female,29,26-35,71465,Medium,East,Tier 2,Churned,Partner,22,698,6,116.33,258,0.233,0,11,5,1.48,Detractor,1,1
CUST_10011,Male,18,18-25,184573,High,South,Tier 2,Premium,Offline Event,46,131199,170,771.76,3,0.284,9,12,3,3.64,Passive,0,0
CUST_10012,Female,41,36-45,68230,Medium,Central,Tier 2,Regular,Paid Search,50,26852,147,182.67,16,0.022,5,2,0,3.87,Passive,0,0.076
CUST_10013,Male,18,18-25,108446,High,South,Tier 1,New,Referral,3,798,0,798,64,0.277,1,5,1,3.82,Passive,1,0.22
CUST_10014,Female,22,18-25,49145,Low,North,Tier 3,New,Referral,4,247,1,247,73,0.186,0,14,0,4.36,Passive,1,0.174
CUST_10015,Female,18,18-25,37578,Low,Central,Tier 3,Budget,Social Media,55,6639,81,81.96,89,0.189,0,8,0,2.94,Detractor,0,0.28
CUST_10016,Male,27,26-35,92087,Medium,East,Tier 2,New,Partner,3,322,1,322,64,0.141,2,14,2,3.46,Detractor,0,0.257
CUST_10017,Female,18,18-25,20035,Low,East,Tier 1,Budget,Social Media,6,518,7,74,29,0.354,1,14,1,3.4,Detractor,0,0.184
CUST_10018,Male,46,46-55,223401,Premium,North,Tier 2,Premium,Offline Event,38,172069,269,639.66,27,0.25,23,5,0,4.47,Passive,0,0
CUST_10019,Female,18,18-25,59062,Medium,North,Tier 3,Budget,Referral,49,5277,39,135.31,16,0.28,2,15,0,3.55,Passive,0,0.158
CUST_10020,Female,42,36-45,218754,Premium,North,Tier 1,Premium,Referral,5,10285,7,1469.29,2,0.223,27,10,1,4.28,Passive,0,0
CUST_10021,Other,29,26-35,20000,Low,North,Tier 2,New,Social Media,4,206,2,103,44,0.162,0,16,1,3.86,Passive,1,0.2
CUST_10022,Other,40,36-45,214204,Premium,North,Tier 2,Premium,Organic,58,172414,303,569.02,9,0.18,26,3,1,3.87,Passive,0,0
CUST_10023,Female,33,26-35,158161,High,East,Tier 2,Premium,Referral,42,130195,134,971.6,29,0.196,18,6,2,3.88,Passive,0,0
CUST_10024,Other,40,36-45,95414,Medium,Central,Tier 3,Premium,Paid Search,16,24023,103,233.23,28,0.336,22,10,1,3.94,Passive,0,0
CUST_10025,Female,51,46-55,82132,Medium,West,Tier 2,Regular,Partner,39,23871,102,234.03,73,0.385,3,2,3,3.29,Detractor,0,0.181
CUST_10026,Female,47,46-55,192398,High,South,Tier 3,Premium,Organic,45,98791,231,427.67,8,0.08,21,7,3,3.1,Detractor,0,0.047
CUST_10027,Male,47,46-55,112121,High,East,Tier 1,Regular,Referral,36,15519,44,352.7,25,0.1,0,0,1,4.23,Passive,0,0.048
CUST_10028,Female,32,26-35,71729,Medium,East,Tier 3,Regular,Social Media,36,12039,35,343.97,23,0.371,0,17,3,3.26,Detractor,0,0.143
CUST_10029,Male,42,36-45,61731,Medium,South,Tier 1,Regular,Paid Search,52,16155,48,336.56,68,0.595,2,11,0,3.38,Detractor,1,0.168
CUST_10030,Female,41,36-45,76259,Medium,South,Tier 2,Regular,Organic,21,11005,61,180.41,32,0.399,1,0,2,3.09,Detractor,0,0.167
CUST_10031,Female,47,46-55,107225,High,North,Tier 2,Regular,Social Media,9,8151,26,313.5,63,0.26,5,0,0,3.88,Passive,0,0.114
CUST_10032,Other,41,36-45,99879,Medium,East,Tier 2,Regular,Social Media,21,15894,38,418.26,62,0.225,0,4,0,4.1,Passive,0,0.091
CUST_10033,Female,18,18-25,58945,Medium,South,Tier 1,Regular,Social Media,57,15509,50,310.18,48,0.249,5,12,2,3.15,Detractor,0,0.175
CUST_10034,Female,48,46-55,198199,High,Central,Tier 3,Premium,Referral,30,86635,106,817.31,16,0.21,26,6,0,4.4,Passive,0,0
CUST_10035,Male,46,46-55,111105,High,Central,Tier 2,Regular,Organic,51,25879,54,479.24,16,0.275,4,5,2,3.59,Passive,0,0.104
CUST_10036,Male,28,26-35,48398,Low,South,Tier 2,Churned,Partner,55,1818,12,151.5,223,0.164,0,15,5,1.03,Detractor,1,1
CUST_10037,Other,29,26-35,20000,Low,North,Tier 2,Budget,Referral,49,4354,65,66.98,30,0.274,4,7,3,2.96,Detractor,0,0.229
CUST_10038,Male,44,36-45,63506,Medium,North,Tier 1,Budget,Paid Search,50,13735,38,361.45,57,0.128,2,1,1,3.58,Passive,0,0.189
CUST_10039,Male,42,36-45,47284,Low,West,Tier 3,New,Organic,3,192,1,192,52,0.262,0,3,0,4.38,Passive,0,0.155
CUST_10040,Male,47,46-55,148629,High,Central,Tier 3,Regular,Organic,39,38904,57,682.53,49,0.278,6,2,0,3.76,Passive,0,0.114
CUST_10041,Male,18,18-25,54411,Medium,North,Tier 1,Budget,Referral,12,1085,13,83.46,63,0.316,2,15,1,3.14,Detractor,1,0.237
CUST_10042,Other,30,26-35,38109,Low,North,Tier 2,New,Social Media,1,48,0,48,53,0.016,2,14,0,4.23,Passive,0,0.171
CUST_10043,Female,39,36-45,112992,High,South,Tier 1,Regular,Organic,43,29600,86,344.19,40,0.149,2,3,0,3.58,Passive,0,0.125
CUST_10044,Male,21,18-25,61948,Medium,West,Tier 2,Budget,Social Media,22,6006,29,207.1,59,0.223,2,16,3,3.13,Detractor,0,0.235
CUST_10045,Male,18,18-25,29271,Low,West,Tier 2,New,Organic,2,100,0,100,80,0.238,0,14,0,3.9,Passive,0,0.226
