lead_id,company_size,industry,website_visits,pages_viewed,time_on_site_seconds,email_opens,email_clicks,form_submissions,content_downloads,webinar_attendance,days_since_first_touch,lead_source,actual_converted,predicted_probability,predicted_class
LEAD_5000,Large,Healthcare,39,27,1243,4,4,2,6,3,44,Social Media,1,0.7715,1
LEAD_5001,Large,Healthcare,22,25,944,13,0,2,8,3,142,Social Media,1,0.8326,1
LEAD_5002,Small,Finance,39,13,593,1,1,1,1,2,147,Website,0,0.4663,0
LEAD_5003,Enterprise,Healthcare,50,26,714,13,3,0,8,3,164,Social Media,1,0.99,1
LEAD_5004,Medium,Finance,23,4,1235,13,0,4,5,3,16,Event,1,0.99,1
LEAD_5005,Small,Healthcare,43,15,1214,3,2,1,5,0,86,Social Media,1,0.3497,0
LEAD_5006,Small,Healthcare,35,23,1083,8,8,0,2,0,16,Website,1,0.6281,1
LEAD_5007,Enterprise,Manufacturing,43,26,1394,5,5,1,6,1,82,Event,0,0.4438,0
LEAD_5008,Small,Education,50,19,445,7,7,1,2,3,9,Social Media,0,0.3878,0
LEAD_5009,Enterprise,Finance,50,7,1127,11,6,5,5,3,108,Referral,1,0.99,1
LEAD_5010,Small,Finance,45,22,807,6,6,4,5,0,4,Social Media,1,0.9491,1
LEAD_5011,Small,Retail,36,28,759,9,1,3,5,0,22,Referral,0,0.4571,0
LEAD_5012,Medium,Technology,37,15,532,7,0,5,8,3,131,Website,1,0.7544,1
LEAD_5013,Large,Finance,23,23,1369,3,3,4,5,1,150,Event,0,0.8037,1
LEAD_5014,Enterprise,Manufacturing,19,23,785,15,4,5,1,2,83,Event,1,0.9667,1
LEAD_5015,Small,Healthcare,33,12,1669,9,3,2,5,1,4,Event,1,0.9215,1
LEAD_5016,Medium,Technology,12,9,892,6,3,4,3,1,132,Referral,1,0.8544,1
LEAD_5017,Large,Finance,42,20,554,3,1,3,3,3,19,Event,1,0.859,1
LEAD_5018,Enterprise,Education,12,28,1168,10,7,2,3,1,25,Social Media,1,0.5666,1
LEAD_5019,Enterprise,Technology,4,11,414,13,0,5,7,2,49,Social Media,1,0.8847,1
LEAD_5020,Small,Manufacturing,1,15,736,1,1,1,3,0,94,Social Media,0,0.01,0
LEAD_5021,Enterprise,Technology,18,13,291,2,2,4,3,1,97,Website,0,0.6405,1
LEAD_5022,Small,Education,7,24,1528,13,0,3,4,0,99,Referral,1,0.225,0
LEAD_5023,Large,Education,47,16,1410,13,3,0,1,3,151,Referral,1,0.9601,1
LEAD_5024,Small,Education,27,2,1070,14,4,2,3,2,22,Paid Ad,0,0.394,0
LEAD_5025,Medium,Manufacturing,22,18,615,14,7,5,2,3,116,Event,1,0.5514,1
LEAD_5026,Small,Education,22,7,429,5,5,2,7,2,156,Social Media,0,0.6849,1
LEAD_5027,Enterprise,Retail,39,15,118,9,2,1,0,1,78,Website,0,0.6277,1
LEAD_5028,Medium,Education,15,23,1035,1,1,2,0,1,67,Paid Ad,0,0.6265,1
LEAD_5029,Enterprise,Manufacturing,21,19,1742,4,4,5,6,3,127,Website,1,0.9165,1
LEAD_5030,Enterprise,Manufacturing,26,18,1459,0,0,2,8,2,26,Event,1,0.9433,1
LEAD_5031,Medium,Healthcare,41,6,898,8,0,2,1,3,158,Website,1,0.6657,1
LEAD_5032,Enterprise,Healthcare,38,12,333,3,3,3,2,0,156,Social Media,0,0.4742,0
LEAD_5033,Small,Retail,31,14,1740,13,4,5,0,0,114,Referral,1,0.5578,1
LEAD_5034,Large,Manufacturing,46,12,1672,14,2,5,8,1,132,Website,1,0.9869,1
LEAD_5035,Large,Retail,34,12,791,1,1,2,8,3,141,Event,1,0.99,1
LEAD_5036,Small,Manufacturing,19,5,1456,3,3,5,2,0,117,Paid Ad,0,0.4118,0
LEAD_5037,Enterprise,Technology,31,11,1263,7,0,5,0,3,31,Event,1,0.7492,1
LEAD_5038,Large,Healthcare,24,29,1768,2,2,5,7,0,57,Paid Ad,1,0.99,1
LEAD_5039,Medium,Finance,39,3,248,10,8,2,3,0,30,Social Media,1,0.698,1
LEAD_5040,Enterprise,Healthcare,12,5,1039,8,8,4,3,2,38,Social Media,1,0.9874,1
LEAD_5041,Large,Technology,8,1,654,0,0,2,4,0,29,Paid Ad,0,0.1907,0
LEAD_5042,Enterprise,Finance,36,25,1487,5,5,0,4,1,70,Referral,1,0.2664,0
LEAD_5043,Small,Healthcare,13,1,1625,1,1,5,0,3,49,Social Media,1,0.6056,1
LEAD_5044,Large,Retail,21,19,730,2,2,3,5,3,29,Event,1,0.99,1
LEAD_5045,Large,Education,17,1,1690,12,0,0,5,1,48,Social Media,0,0.6065,1
LEAD_5046,Enterprise,Healthcare,35,26,848,15,1,1,1,0,107,Event,0,0.1566,0
LEAD_5047,Enterprise,Retail,16,19,927,6,6,2,1,1,162,Event,1,0.5161,1
LEAD_5048,Enterprise,Finance,1,15,241,3,0,1,5,1,173,Social Media,0,0.2926,0
LEAD_5049,Enterprise,Finance,44,7,638,2,2,5,2,0,91,Event,0,0.9538,1
LEAD_5050,Enterprise,Manufacturing,18,13,833,12,2,3,1,1,17,Referral,1,0.8583,1
LEAD_5051,Enterprise,Healthcare,16,15,512,7,7,3,8,2,14,Referral,1,0.99,1
LEAD_5052,Medium,Healthcare,24,26,1580,8,8,4,2,0,132,Social Media,1,0.6247,1
LEAD_5053,Medium,Finance,41,25,651,9,3,5,6,2,177,Referral,1,0.7802,1
LEAD_5054,Enterprise,Retail,14,21,1290,10,6,5,8,2,20,Website,1,0.99,1
LEAD_5055,Large,Education,33,11,787,3,3,0,3,2,57,Paid Ad,0,0.7209,1
LEAD_5056,Small,Technology,13,12,1445,8,5,3,7,2,7,Event,1,0.9273,1
LEAD_5057,Small,Technology,5,4,180,3,3,2,0,2,44,Referral,0,0.1658,0
LEAD_5058,Small,Manufacturing,10,4,53,14,9,0,0,3,127,Paid Ad,1,0.1852,0
LEAD_5059,Large,Healthcare,27,8,592,15,10,5,3,3,43,Social Media,1,0.8007,1
LEAD_5060,Medium,Technology,27,7,501,12,10,0,6,0,40,Referral,1,0.8373,1
LEAD_5061,Small,Retail,36,29,1393,5,5,3,1,0,92,Social Media,1,0.0734,0
LEAD_5062,Medium,Finance,23,23,677,2,2,0,3,1,13,Referral,0,0.5005,1
LEAD_5063,Large,Retail,10,6,867,8,2,2,0,0,179,Event,0,0.4777,0
LEAD_5064,Small,Healthcare,45,9,1013,7,7,1,3,1,103,Social Media,1,0.4453,0
LEAD_5065,Small,Education,49,20,1425,11,6,0,5,1,80,Event,0,0.4858,0
LEAD_5066,Enterprise,Retail,50,23,252,0,0,1,7,2,127,Social Media,1,0.531,1
LEAD_5067,Enterprise,Education,32,18,275,3,3,2,0,1,79,Social Media,0,0.3977,0
LEAD_5068,Enterprise,Retail,22,7,1349,12,10,3,6,1,13,Paid Ad,1,0.8461,1
LEAD_5069,Large,Retail,41,7,248,5,5,5,1,1,20,Website,1,0.7183,1
LEAD_5070,Enterprise,Manufacturing,11,27,1029,9,6,5,2,1,43,Referral,1,0.9787,1
LEAD_5071,Enterprise,Education,13,25,1403,4,4,3,1,3,100,Website,0,0.7186,1
LEAD_5072,Medium,Healthcare,6,11,1589,8,4,4,6,3,177,Event,0,0.5805,1
LEAD_5073,Enterprise,Technology,47,28,853,15,5,5,6,2,131,Social Media,1,0.99,1
LEAD_5074,Medium,Education,2,20,1651,1,1,0,5,2,14,Referral,1,0.1686,0
LEAD_5075,Medium,Education,47,27,756,12,10,1,6,2,174,Social Media,0,0.3745,0
LEAD_5076,Large,Healthcare,6,10,1573,11,7,1,2,0,97,Paid Ad,1,0.5618,1
LEAD_5077,Small,Healthcare,9,13,946,2,2,4,7,3,142,Paid Ad,1,0.3676,0
LEAD_5078,Enterprise,Education,44,25,480,3,3,4,1,1,68,Event,0,0.4045,0
LEAD_5079,Enterprise,Technology,21,22,1790,0,0,0,6,2,17,Referral,0,0.99,1
LEAD_5080,Large,Education,44,4,1778,0,0,1,6,1,111,Event,1,0.8329,1
LEAD_5081,Enterprise,Manufacturing,3,12,1350,6,6,1,5,3,175,Social Media,0,0.6834,1
LEAD_5082,Small,Technology,42,4,1010,1,1,4,2,0,28,Social Media,1,0.6253,1
LEAD_5083,Enterprise,Technology,26,15,761,4,4,3,5,0,124,Referral,1,0.7098,1
LEAD_5084,Large,Manufacturing,48,18,1005,3,3,1,2,3,91,Social Media,1,0.7847,1
LEAD_5085,Small,Technology,24,13,989,9,1,4,2,2,171,Social Media,1,0.7215,1
LEAD_5086,Medium,Manufacturing,5,16,419,1,0,4,6,2,174,Website,1,0.5656,1
