product_id,product_name,category,subcategory,region,quarter,year,sales,units_sold,profit,profit_margin,return_rate,avg_rating,review_count
PRD_1,iPhone Pro,Electronics,Smartphones,North,Q1 2023,2023,46037.49,27,5370.44,11.67,1.89,4.8,1507
PRD_2,iPhone Pro,Electronics,Smartphones,North,Q2 2023,2023,72120.74,14,5992.8,8.31,3.57,3.7,740
PRD_3,iPhone Pro,Electronics,Smartphones,North,Q3 2023,2023,81146.58,29,11465.24,14.13,2.4,4.1,1622
PRD_4,iPhone Pro,Electronics,Smartphones,North,Q4 2023,2023,65836.31,41,8350.24,12.68,2.84,3.7,1505
PRD_5,iPhone Pro,Electronics,Smartphones,North,Q1 2024,2024,54106.16,15,4455.62,8.23,3.99,4.5,1634
PRD_6,iPhone Pro,Electronics,Smartphones,North,Q2 2024,2024,90922.9,23,8290.21,9.12,2.77,4.6,1161
PRD_7,iPhone Pro,Electronics,Smartphones,North,Q3 2024,2024,51868.73,29,6069.49,11.7,2.03,4.8,988
PRD_8,iPhone Pro,Electronics,Smartphones,North,Q4 2024,2024,120801.06,37,11631.98,9.63,1.41,3.6,930
PRD_9,iPhone Pro,Electronics,Smartphones,South,Q1 2023,2023,60974.44,12,8919.82,14.63,1.95,4,1361
PRD_10,iPhone Pro,Electronics,Smartphones,South,Q2 2023,2023,81988.82,32,10807.54,13.18,2.32,3.6,980
PRD_11,iPhone Pro,Electronics,Smartphones,South,Q3 2023,2023,87675.3,21,9885.2,11.27,3.19,4.6,1487
PRD_12,iPhone Pro,Electronics,Smartphones,South,Q4 2023,2023,93922.13,39,9681.89,10.31,2.93,4.3,1051
PRD_13,iPhone Pro,Electronics,Smartphones,South,Q1 2024,2024,65486.06,36,5362.13,8.19,2.99,4.5,1604
PRD_14,iPhone Pro,Electronics,Smartphones,South,Q2 2024,2024,56167.51,97,5027.94,8.95,1.27,4.3,727
PRD_15,iPhone Pro,Electronics,Smartphones,South,Q3 2024,2024,54995.85,13,6367.08,11.58,3.62,4.8,497
PRD_16,iPhone Pro,Electronics,Smartphones,South,Q4 2024,2024,102232.6,35,9385.47,9.18,3.31,4.1,148
PRD_17,iPhone Pro,Electronics,Smartphones,East,Q1 2023,2023,45115.01,25,5662.48,12.55,3.46,4,1533
PRD_18,iPhone Pro,Electronics,Smartphones,East,Q2 2023,2023,53368.08,15,7243.76,13.57,2.13,4.1,573
PRD_19,iPhone Pro,Electronics,Smartphones,East,Q3 2023,2023,40048.71,11,5589.77,13.96,3.88,4.8,438
PRD_20,iPhone Pro,Electronics,Smartphones,East,Q4 2023,2023,47077.31,43,4298.24,9.13,1.58,4.6,1745
PRD_21,iPhone Pro,Electronics,Smartphones,East,Q1 2024,2024,35677.58,25,3316.67,9.3,2.48,3.7,1652
PRD_22,iPhone Pro,Electronics,Smartphones,East,Q2 2024,2024,34419.37,18,3448.79,10.02,2.93,3.5,777
PRD_23,iPhone Pro,Electronics,Smartphones,East,Q3 2024,2024,39774.19,22,4276.73,10.75,3.79,4.6,1073
PRD_24,iPhone Pro,Electronics,Smartphones,East,Q4 2024,2024,85694.97,18,10481.15,12.23,1.4,3.6,364
PRD_25,iPhone Pro,Electronics,Smartphones,West,Q1 2023,2023,72222.38,41,7002.84,9.7,1.79,4.1,1448
PRD_26,iPhone Pro,Electronics,Smartphones,West,Q2 2023,2023,51964.8,11,6093.7,11.73,3.11,3.9,1737
PRD_27,iPhone Pro,Electronics,Smartphones,West,Q3 2023,2023,72435.05,32,9875.8,13.63,2.91,4.6,739
PRD_28,iPhone Pro,Electronics,Smartphones,West,Q4 2023,2023,113024.36,36,11473.52,10.15,2.67,4.2,1580
PRD_29,iPhone Pro,Electronics,Smartphones,West,Q1 2024,2024,98413.1,36,11850.41,12.04,2.09,4.3,1058
PRD_30,iPhone Pro,Electronics,Smartphones,West,Q2 2024,2024,80514.89,18,9999.6,12.42,3.82,4.4,1233
PRD_31,iPhone Pro,Electronics,Smartphones,West,Q3 2024,2024,71289.73,72,6890.13,9.66,1.07,4.2,1615
PRD_32,iPhone Pro,Electronics,Smartphones,West,Q4 2024,2024,130120.34,31,11259.17,8.65,2.27,3.8,1622
PRD_33,iPhone Pro,Electronics,Smartphones,Central,Q1 2023,2023,33278.61,33,3975.54,11.95,3.29,4.2,1425
PRD_34,iPhone Pro,Electronics,Smartphones,Central,Q2 2023,2023,37834.34,9,5152.47,13.62,1.83,4.5,841
PRD_35,iPhone Pro,Electronics,Smartphones,Central,Q3 2023,2023,34506.64,11,4798.86,13.91,2.2,4.4,1425
PRD_36,iPhone Pro,Electronics,Smartphones,Central,Q4 2023,2023,48056.2,23,6192.59,12.89,1.03,4.4,1061
PRD_37,iPhone Pro,Electronics,Smartphones,Central,Q1 2024,2024,34351.75,30,4669.43,13.59,1.94,4.8,536
PRD_38,iPhone Pro,Electronics,Smartphones,Central,Q2 2024,2024,40902.46,13,3592.49,8.78,3.26,4.1,512
PRD_39,iPhone Pro,Electronics,Smartphones,Central,Q3 2024,2024,31464.87,11,3251.37,10.33,2.44,4.3,1394
PRD_40,iPhone Pro,Electronics,Smartphones,Central,Q4 2024,2024,44554.78,13,3797.5,8.52,2.67,4.4,389
PRD_41,Samsung Galaxy,Electronics,Smartphones,North,Q1 2023,2023,60090.48,16,7252.37,12.07,1.96,4.1,132
PRD_42,Samsung Galaxy,Electronics,Smartphones,North,Q2 2023,2023,57555.57,12,6020.28,10.46,2.86,3.6,1099
PRD_43,Samsung Galaxy,Electronics,Smartphones,North,Q3 2023,2023,61058.82,35,5407.01,8.86,3,3.7,371
PRD_44,Samsung Galaxy,Electronics,Smartphones,North,Q4 2023,2023,99606.52,50,13130.1,13.18,3.22,4.4,1201
PRD_45,Samsung Galaxy,Electronics,Smartphones,North,Q1 2024,2024,76084.24,16,8829.02,11.6,1.22,4.4,770
PRD_46,Samsung Galaxy,Electronics,Smartphones,North,Q2 2024,2024,50549.38,11,5891.01,11.65,1.34,4.3,1782
PRD_47,Samsung Galaxy,Electronics,Smartphones,North,Q3 2024,2024,72919.39,30,8713.72,11.95,3.43,4.1,1185
PRD_48,Samsung Galaxy,Electronics,Smartphones,North,Q4 2024,2024,116027.08,182,11736.48,10.12,2.51,4.8,1969
PRD_49,Samsung Galaxy,Electronics,Smartphones,South,Q1 2023,2023,78744.96,25,9194.04,11.68,1.04,4.4,821
